"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
18467,"SCOTTY'S VODKA 50ML",96,0.99,95.04,60,93,93,94,89,114,145,94,63,130,68,153,90,85,71,132,127,172,94,137,117,121,96,142,114,167,159,125,142,203,165,174,249,183,205,255,225,235,233,240,233,183,168,167,164,170,159,137,99,118,163,102,76,7690
96741,"CORONA EXTRA 4/6 NR - 12OZ",24,1.831666667,43.960000008,162,0,0,144,144,132,252,66,6,0,66,126,168,84,156,162,108,138,150,144,120,210,150,264,24,132,180,186,186,90,144,186,84,90,168,162,174,222,150,138,144,126,222,120,180,174,216,294,102,114,126,252,114,7478
70417,"FIREBALL CINN WHISKY 50ML/10PK LOOSE",120,1.09,130.8,62,170,170,108,166,141,203,185,153,145,133,160,143,141,192,158,241,157,219,245,246,200,167,192,127,155,140,121,95,144,141,123,129,210,97,124,127,103,142,184,221,148,20,131,152,0,0,147,81,0,71,169,0,7520
249230,"FIREBALL WHISKY 10PK SLV - 50ML",120,1.09,130.8,230,100,100,280,210,240,170,80,20,70,120,200,200,150,150,110,0,0,0,0,90,210,150,160,220,170,200,130,180,170,120,170,140,50,160,130,240,150,140,130,160,160,140,80,210,140,120,280,150,290,0,0,0,7391
35211,"SMIRNOFF VODKA - 50ML",120,0.99,118.8,142,181,181,154,167,224,152,189,260,215,191,200,197,147,205,231,151,139,154,5,0,0,92,125,84,107,51,252,123,141,172,140,24,8,48,97,142,102,131,126,97,143,163,143,160,174,113,155,165,219,157,99,45,7404
53929,"TITO'S HANDMADE VODKA - 1.75L",6,30.99,185.94,92,127,127,90,153,151,129,131,134,127,111,129,131,135,134,99,132,117,106,114,152,119,140,149,120,138,144,122,142,106,119,127,105,115,132,146,138,120,109,132,126,111,134,152,144,153,140,187,128,150,143,158,94,6901
71009,"HIGH NOON VARIETY PACK - 355ML - 12PK",24,2.665833333,63.979999992,48,60,60,84,96,108,24,24,48,120,132,72,48,132,84,60,0,0,0,0,132,120,252,108,240,120,252,120,180,300,240,216,120,204,276,192,120,264,84,120,36,132,324,204,204,144,84,132,60,180,168,144,156,6855
359430,"FIREBALL CINNAMON WHISKY CARRIER - 6/50ML",120,1.09,130.8,96,72,72,102,132,120,54,78,138,78,114,78,174,120,120,84,156,114,168,90,72,102,114,126,78,96,132,162,108,66,78,78,72,78,84,162,90,108,60,96,96,180,186,162,114,204,216,150,162,288,420,60,0,6481
98744,"STELLA ARTOIS 4/6 NR - 11.2OZ",24,1.998333333,47.959999992,120,84,84,108,0,102,132,42,36,0,84,84,138,72,90,138,102,78,120,126,18,168,120,186,30,108,198,138,126,60,96,126,108,78,102,162,96,162,126,156,78,120,114,108,150,198,54,252,84,114,144,264,66,5876
71983,"HIGH NOON SUN SIPS TRP VAR 8PK - RTD - 355ML",24,2.49875,59.97,40,56,56,56,88,80,56,48,72,72,88,48,56,32,152,120,72,72,200,88,200,160,192,184,224,224,184,136,80,112,72,64,120,112,176,112,96,144,72,40,56,64,104,56,128,136,48,168,184,160,104,184,168,5842
96083,"HEINEKEN 4/6 NR - 12OZ",24,1.831666667,43.960000008,78,54,54,102,36,102,108,108,42,0,84,36,84,96,84,84,132,96,168,0,312,0,126,114,150,150,120,90,132,186,174,144,108,90,114,72,90,84,114,78,132,132,126,114,60,96,84,234,54,108,114,132,90,5498
5932,"MODELO ESPECIAL 4/6 NR - 12OZ",24,1.831666667,43.960000008,24,90,90,36,96,66,222,84,96,12,144,120,120,108,78,108,102,138,102,78,114,144,156,12,162,108,186,54,150,120,126,120,66,96,78,144,72,108,72,114,102,120,132,96,84,90,48,162,78,84,132,192,48,5510
70058,"NEW AMSTERDAM VODKA - PINK WHITNEY - 50ML",120,1.09,130.8,61,123,123,81,80,27,54,62,0,65,81,79,108,101,66,84,67,69,63,120,72,99,81,10,63,51,83,133,100,93,137,46,110,145,106,123,113,89,142,183,147,168,210,167,179,142,126,173,138,183,146,167,56,5616
88581,"HIGH NOON SUN SIPS END ZONE PACK -  8PK   - RTD - 355ML",24,2.49875,59.97,40,24,24,56,24,56,144,24,72,16,80,72,48,64,64,80,64,96,56,136,168,80,136,88,144,184,160,80,88,120,80,120,120,168,216,64,152,168,168,104,160,96,112,224,211,88,160,128,0,0,0,0,0,5053
38113,"BACARDI SUP WHITE RUM - 50ML",120,1.19,142.8,24,61,61,69,108,49,0,35,84,55,69,69,115,125,89,76,110,91,43,181,110,39,125,84,49,120,147,96,40,44,102,50,96,69,49,89,119,97,99,119,157,105,175,119,126,160,160,87,152,160,118,97,43,5037
11835,"JIM BEAM WHITE - 50ML",120,1.19,142.8,47,80,80,67,82,103,100,82,95,81,137,128,135,124,125,150,143,126,146,122,102,115,150,112,139,100,45,32,52,19,56,70,98,66,41,56,75,71,46,47,38,26,40,43,83,51,83,28,58,114,184,77,42,4633
70083,"HIGH NOON SUN SIPS 8 PK VARIETY  - RTD - 355ML",24,2.49875,59.97,8,8,8,8,16,40,56,24,16,48,96,88,56,56,56,80,40,40,56,104,88,88,112,112,200,120,184,96,112,80,104,72,120,80,104,144,160,72,136,48,40,48,80,104,48,112,104,168,144,120,184,136,40,4490
44532,"SMIRNOFF VODKA - WATERMELON - 50ML",120,0.99,118.8,45,58,58,98,154,132,98,14,0,55,67,82,65,66,95,73,93,90,109,107,137,70,179,106,84,52,1,0,41,0,26,156,120,109,121,96,79,56,110,150,183,61,109,104,70,127,103,94,65,50,67,86,0,4492
13869,"CUTWATER LIME MARGARITA 6/4 CAN",24,3.2475,77.94,48,72,72,28,64,32,68,44,64,48,48,44,48,100,100,80,100,80,56,40,88,84,88,92,88,72,108,76,92,52,64,108,104,160,120,80,84,64,72,108,124,116,112,108,113,108,84,136,68,48,148,52,32,4316
241476,"99 SCHNAPPS FRUIT PARTY PACK - 10PK/50ML",120,1.09,130.8,10,40,40,50,30,40,20,40,100,40,80,10,50,70,90,90,100,130,120,10,50,90,60,100,60,120,20,100,60,90,80,120,90,120,10,100,170,160,180,120,60,40,160,40,70,140,50,70,90,90,90,80,60,4221
241458,"99 SCHNAPPS LONG ISLAND ICED TEA - 50ML",120,1.09,130.8,0,0,0,38,55,59,73,16,4,84,49,60,86,67,74,80,108,117,103,26,94,85,109,98,67,120,134,96,68,102,79,110,153,92,141,96,135,109,82,100,49,59,79,60,73,56,79,59,51,42,42,46,21,4006
52057,"HIGH NOON SUN SIPS TEQUILA   - VARIETY 8 PACK  - 355ML",24,2.74875,65.97,0,64,64,64,48,56,56,32,32,40,24,32,40,48,8,24,48,24,40,64,192,64,104,136,136,96,168,96,56,96,88,72,80,120,72,104,112,88,48,80,8,104,88,88,48,56,112,104,40,104,56,80,104,3835
89518,"HIGH NOON SUN SIPS TEQUILA FIESTA -355ML- RTD",24,2.74875,65.97,0,0,0,0,0,0,32,40,8,72,48,40,24,56,112,64,40,64,32,16,72,96,128,128,200,120,160,112,96,128,72,120,96,112,88,56,80,80,80,80,64,64,104,120,56,104,64,80,64,48,64,120,32,3763
