"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
70417,"FIREBALL CINN WHISKY 50ML/10PK LOOSE",120,1.09,130.8,141,88,82,141,200,189,242,235,2,200,263,183,260,238,251,204,147,74,129,69,91,155,131,82,84,129,66,93,44,56,73,88,121,105,154,144,155,150,134,200,185,98,160,129,129,113,134,221,216,202,281,120,121,7823
96741,"CORONA EXTRA 4/6 NR - 12OZ",24,1.831666667,43.960000008,66,78,84,66,114,78,48,48,54,54,66,30,48,30,72,36,66,66,126,132,162,108,96,144,96,30,90,66,60,66,66,96,84,150,108,60,84,114,72,54,78,54,90,52,54,30,61,72,36,48,54,66,24,3913
96083,"HEINEKEN 4/6 NR - 12OZ",24,1.831666667,43.960000008,48,90,84,48,30,78,72,60,54,84,42,48,42,54,78,72,24,102,138,108,114,30,54,84,102,42,72,78,60,84,72,66,42,72,54,96,114,60,48,42,66,30,60,78,72,60,78,90,42,42,67,38,18,3509
98744,"STELLA ARTOIS 4/6 NR - 11.2OZ",24,1.998333333,47.959999992,60,78,78,48,210,6,36,18,78,54,36,18,30,36,60,60,72,114,84,108,120,48,24,90,54,54,66,114,120,60,36,54,192,108,78,30,78,36,84,24,78,36,54,48,84,42,54,36,24,24,18,84,54,3416
251042,"YUKON JACK FIRE LIQUEUR - 50ML",120,1.09,130.8,0,11,16,11,13,15,23,30,3,31,41,51,51,50,68,39,31,25,40,78,72,54,56,60,59,56,49,73,79,104,41,80,86,61,77,43,79,41,66,58,97,72,71,97,81,63,81,82,79,115,52,73,33,3038
96067,"GUINNESS STOUT 4/6 NR - 11.2OZ",24,1.831666667,43.960000008,60,90,30,36,66,30,36,42,48,60,102,60,24,24,43,54,18,84,36,144,60,72,48,66,96,42,30,66,36,36,78,36,120,66,96,96,90,30,54,36,60,30,54,24,66,72,32,32,42,42,36,66,18,2941
35211,"SMIRNOFF VODKA - 50ML",120,0.99,118.8,64,82,130,83,97,125,36,38,0,78,49,87,84,82,98,91,54,61,73,53,27,0,21,38,21,25,16,33,22,41,43,48,27,51,58,37,74,39,47,82,39,58,35,46,47,30,27,61,48,48,68,67,12,2922
38067,"BACARDI RUM GOLD - 50ML",120,1.19,142.8,18,12,0,0,0,40,37,43,0,33,47,58,74,28,36,25,32,34,43,33,61,44,34,78,26,45,49,25,45,51,50,65,65,102,130,64,143,129,104,93,73,22,49,58,41,46,100,72,69,68,68,93,4,2880
12944,"HABESHA 4/6 NR",24,2.665,63.96,36,54,156,66,102,72,12,60,12,24,132,18,19,13,96,90,7,67,102,60,85,96,61,62,90,24,36,54,68,79,54,62,24,6,19,60,169,48,36,108,12,6,18,18,12,43,66,6,90,12,1,26,6,2782
23193,"GUINNESS STOUT 2/12 NR",24,1.85625,44.55,12,72,108,12,48,84,24,84,24,36,36,0,48,24,72,36,60,24,24,60,84,120,132,24,36,0,12,0,60,24,48,84,144,0,144,48,276,12,36,60,12,24,36,72,108,12,60,36,48,24,12,24,24,2750
69086,"BLUE MOON BLGM WHTE ALE 2/12NR - 12OZ",24,1.749166667,41.980000008,24,12,156,12,72,60,36,12,84,24,12,36,60,24,60,12,12,12,36,60,60,96,72,48,72,48,60,36,24,36,72,84,24,2,72,48,36,24,36,84,36,24,72,72,12,0,48,132,48,0,24,12,144,2500
5932,"MODELO ESPECIAL 4/6 NR - 12OZ",24,1.831666667,43.960000008,24,30,30,18,54,54,18,24,24,24,66,36,24,30,42,30,36,48,72,54,72,42,84,96,66,30,90,36,60,18,72,36,36,30,66,36,84,30,60,0,120,60,78,60,36,54,30,60,24,36,6,60,12,2444
18467,"SCOTTY'S VODKA 50ML",96,0.99,95.04,13,28,30,34,0,0,0,0,12,35,29,24,28,33,72,76,38,41,34,19,37,67,56,56,64,60,46,85,51,56,54,39,41,39,59,60,44,47,65,58,53,60,44,44,56,74,52,61,25,19,53,24,23,2315
359430,"FIREBALL CINNAMON WHISKY CARRIER - 6/50ML",120,1.09,130.8,6,18,12,18,18,0,42,30,180,54,42,24,30,60,18,30,78,84,55,42,42,24,48,48,48,30,30,18,24,48,24,36,48,36,12,18,96,30,36,42,18,24,36,67,36,54,60,48,48,42,60,66,24,2283
72446,"TITO'S HANDMADE VODKA - 50ML",60,2.49,149.4,38,37,37,26,21,28,45,30,15,35,34,37,38,19,42,31,49,15,46,32,34,30,18,33,17,33,26,47,35,10,19,16,63,30,39,39,49,41,38,51,48,44,74,44,84,63,51,25,91,55,65,37,26,2092
38113,"BACARDI SUP WHITE RUM - 50ML",120,1.19,142.8,18,32,47,28,45,54,20,0,0,29,34,42,39,51,58,31,68,53,30,26,28,17,53,35,26,22,17,22,11,50,56,35,52,40,50,4,45,45,39,44,35,43,32,29,75,37,45,26,27,28,36,22,1,1953
35866,"BOWMAN'S VODKA - 375ML",24,3.99,95.76,26,63,66,50,27,28,36,38,37,27,41,39,23,36,51,40,34,21,38,32,27,28,27,47,29,30,30,36,23,34,43,30,28,41,37,48,45,21,37,22,35,43,32,29,25,24,38,0,29,37,45,27,20,1828
297525,"JAMESON & COLA - RTD 6/4PK - 355ML",24,3.7475,89.94,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,1652
53929,"TITO'S HANDMADE VODKA - 1.75L",6,30.99,185.94,27,27,34,25,27,25,36,29,29,25,31,29,25,33,26,37,22,25,30,38,27,38,28,40,30,31,28,22,26,16,24,24,15,23,24,36,30,26,29,21,28,23,26,30,38,21,27,33,28,27,24,35,16,1511
62740,"JAMESON IRISH WHISKEY - 50ML",120,3.39,406.8,0,37,31,24,27,18,22,25,28,16,21,42,33,41,32,29,36,27,36,45,48,42,37,31,23,29,26,22,27,43,32,35,10,8,20,17,9,15,12,11,8,29,38,38,40,17,29,36,37,46,41,31,14,1594
76288,"NEW AMSTERDAM VODKA - 50ML",120,1.09,130.8,62,25,32,0,0,0,0,0,0,21,16,16,27,36,36,21,16,39,11,65,66,79,12,31,64,20,11,20,31,45,33,21,21,21,21,15,30,19,19,27,39,36,49,44,24,44,48,40,19,48,15,10,23,1589
