"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
70417,"FIREBALL CINN WHISKY 50ML/10PK LOOSE",120,1.09,130.8,76,60,137,136,115,127,81,113,118,158,101,128,160,102,86,117,91,121,109,102,110,100,110,84,55,72,73,76,80,57,79,61,82,131,87,103,97,113,97,138,126,90,112,154,119,135,109,105,155,131,137,124,26,5687
96741,"CORONA EXTRA 4/6 NR - 12OZ",24,1.831666667,43.960000008,60,60,78,24,48,90,78,0,48,24,36,72,84,48,54,114,48,96,108,54,168,192,138,180,90,66,150,90,84,114,84,120,120,126,84,60,102,102,42,72,108,42,90,36,54,54,144,144,30,54,54,222,24,4490
96067,"GUINNESS STOUT 4/6 NR - 11.2OZ",24,1.831666667,43.960000008,12,132,24,72,96,72,60,72,54,54,138,66,180,60,72,48,168,132,54,54,138,90,150,48,210,138,150,72,48,72,90,162,66,84,84,24,36,24,42,18,72,78,18,12,18,84,48,78,36,66,120,108,42,4172
96083,"HEINEKEN 4/6 NR - 12OZ",24,1.831666667,43.960000008,96,52,0,54,85,79,102,36,18,30,41,26,79,36,43,61,62,90,134,87,102,127,72,240,66,90,162,78,96,54,72,108,84,66,138,84,78,78,78,96,72,72,96,60,84,84,60,126,12,36,78,60,36,4082
98744,"STELLA ARTOIS 4/6 NR - 11.2OZ",24,1.998333333,47.959999992,18,48,0,49,0,90,72,6,24,36,36,30,90,36,37,24,42,103,72,50,72,72,54,137,78,24,144,63,66,72,45,36,96,99,80,73,114,54,78,62,96,61,63,36,36,144,66,108,72,42,168,156,42,3498
69086,"BLUE MOON BLGM WHTE ALE 2/12NR - 12OZ",24,1.749166667,41.980000008,48,60,12,24,48,60,36,0,24,24,24,84,0,0,84,24,48,84,36,108,156,84,96,96,72,120,132,108,36,72,72,36,60,60,84,96,24,12,48,48,48,48,96,24,48,84,48,108,36,96,108,108,12,3230
249230,"FIREBALL WHISKY 10PK SLV - 50ML",120,1.09,130.8,20,80,10,110,100,80,130,40,30,20,60,100,50,80,0,70,50,70,60,60,60,90,90,50,60,50,90,120,40,80,60,20,60,20,50,70,40,30,50,50,80,30,20,20,40,40,40,40,0,0,0,0,0,2831
5932,"MODELO ESPECIAL 4/6 NR - 12OZ",24,1.831666667,43.960000008,24,60,6,48,12,24,60,0,24,42,30,72,66,12,30,54,42,60,72,54,90,66,54,48,42,60,78,48,84,24,36,66,48,48,18,90,36,18,36,12,60,18,30,30,36,42,54,48,6,12,42,0,48,2246
53929,"TITO'S HANDMADE VODKA - 1.75L",6,30.99,185.94,24,42,47,46,35,54,56,40,42,40,46,36,38,30,44,35,46,34,32,47,55,26,39,57,34,42,56,33,36,44,47,45,38,31,34,35,27,36,37,36,41,48,47,46,52,41,47,71,39,36,52,45,24,2228
70058,"NEW AMSTERDAM VODKA - PINK WHITNEY - 50ML",120,1.09,130.8,17,35,31,31,36,36,39,27,18,30,35,14,18,29,47,27,35,40,50,41,39,56,15,21,25,34,18,1,48,26,55,37,24,50,35,27,64,34,76,65,73,48,81,99,66,72,33,43,63,77,66,36,9,2273
18467,"SCOTTY'S VODKA 50ML",96,0.99,95.04,21,36,16,22,10,0,0,0,3,26,23,23,32,37,32,26,47,36,20,30,34,45,8,13,28,13,29,37,41,45,29,42,11,22,33,55,29,44,54,55,49,77,55,46,59,78,74,67,40,51,41,38,10,1889
76288,"NEW AMSTERDAM VODKA - 50ML",120,1.09,130.8,49,36,18,15,0,0,0,0,0,0,20,18,29,51,28,28,56,60,40,30,0,39,47,24,17,27,58,28,29,33,37,37,39,46,13,37,55,37,53,50,64,39,61,67,72,60,10,38,34,32,50,27,9,1868
72446,"TITO'S HANDMADE VODKA - 50ML",60,2.49,149.4,28,48,40,13,25,32,29,23,14,43,14,21,28,12,23,61,35,33,39,41,17,24,63,34,47,58,46,33,50,9,0,0,39,50,54,77,57,30,77,36,45,15,9,30,8,38,58,13,21,14,34,33,15,1798
25454,"ANGRY ORCHARD CRISP APPLE 4/6 NR",24,1.831666667,43.960000008,18,6,24,6,24,24,36,24,12,6,12,24,12,18,18,30,6,30,12,36,12,36,18,66,36,156,36,18,60,24,24,36,42,24,30,42,12,36,36,60,30,36,6,42,48,54,24,48,24,48,48,60,18,1694
23193,"GUINNESS STOUT 2/12 NR",24,1.85625,44.55,36,24,0,0,24,24,60,60,36,72,108,60,12,0,24,0,24,48,36,156,0,0,0,0,0,0,0,0,48,48,0,0,24,36,24,36,48,24,0,36,60,36,36,12,60,24,24,36,36,12,84,48,24,1646
359430,"FIREBALL CINNAMON WHISKY CARRIER - 6/50ML",120,1.09,130.8,6,24,84,24,54,36,54,60,42,12,36,36,48,36,60,12,30,18,30,18,36,36,24,24,0,24,18,0,18,12,36,24,48,30,30,24,6,24,12,6,36,18,0,18,18,18,36,18,54,60,66,60,48,1723
97802,"CORONA LT 4/6 NR - 12OZ",24,1.665,39.96,0,0,0,48,0,36,30,24,6,18,24,18,54,54,30,12,30,30,24,54,12,36,30,54,48,12,72,30,18,42,90,0,24,66,30,24,24,36,36,18,12,18,18,12,6,18,24,42,0,12,18,24,66,1490
35211,"SMIRNOFF VODKA - 50ML",120,0.99,118.8,11,20,25,25,46,39,42,37,34,37,29,14,23,35,13,28,24,26,47,1,0,0,24,42,21,18,32,10,20,19,25,32,10,21,27,39,48,31,14,47,9,65,38,60,28,26,33,27,26,29,35,16,6,1555
251036,"YUKON JACK 100PF LIQUEUR - 50ML",120,1.09,130.8,21,35,20,5,8,5,6,18,10,16,2,4,5,21,21,26,21,22,11,24,25,37,0,33,47,27,26,47,13,18,23,30,66,17,70,56,17,41,10,44,28,37,57,65,50,13,61,27,35,20,60,16,13,1551
50744,"WHITE CLAW VARIETY PACK #1  2/12PK 12.OZ CAN",24,1.749166667,41.980000008,36,12,12,12,0,36,36,12,24,0,24,12,12,12,12,24,48,12,36,36,36,24,48,36,36,36,24,24,60,60,12,24,12,36,48,0,0,24,36,60,24,12,12,24,48,48,12,48,24,48,36,24,12,1442
13869,"CUTWATER LIME MARGARITA 6/4 CAN",24,3.2475,77.94,24,24,8,32,20,36,44,16,0,0,24,24,24,20,28,24,48,48,48,24,52,20,20,28,48,28,40,24,12,40,8,20,16,44,48,8,40,8,0,0,16,24,12,44,36,16,20,36,16,44,20,48,20,1399
48978,"TRULY LEMONADE SELTZER VARIETY 12PK 120Z CAN",24,1.665833333,39.979999992,0,0,24,0,0,0,12,24,0,0,0,12,0,24,24,0,12,48,36,0,48,24,24,48,36,36,36,60,48,60,48,48,36,24,48,24,60,36,0,0,48,24,48,72,24,36,24,12,36,36,24,12,12,1394
348422,"FIREBALL CINNAMON WHISKY PARTY BUCKET - 20/50ML",120,1.09,130.8,20,20,0,0,0,20,0,40,20,20,0,0,0,20,60,20,0,40,60,20,20,20,40,20,80,40,40,20,60,0,0,20,20,40,20,40,20,0,20,20,0,60,40,20,40,20,60,60,20,0,120,0,20,1481
96180,"MIKES VARIETY 12 PK NR - 11.2OZ",24,1.99,47.76,12,0,12,24,24,24,12,12,24,36,0,36,48,24,36,12,24,24,12,36,25,36,36,36,12,48,60,0,36,24,36,12,36,24,24,36,12,12,12,12,48,0,0,24,36,36,0,48,0,12,24,72,12,1299
7617,"MICHELOB ULTRA 4/6 NR - 12OZ",24,1.665,39.96,0,12,36,18,0,36,36,6,18,36,12,12,36,12,12,36,24,18,12,12,30,42,18,24,102,24,0,12,48,18,0,24,12,6,18,18,72,18,30,0,0,24,6,36,78,6,0,0,0,12,114,36,6,1244
72777,"TITO'S HANDMADE VODKA - 750ML",12,18.99,227.88,18,29,22,18,22,28,23,18,22,23,29,25,24,31,31,25,23,21,43,26,28,34,30,12,18,12,28,14,19,16,19,12,23,22,28,24,14,5,16,10,21,19,21,22,24,31,24,37,27,20,44,31,11,1248
94250,"SMIRNOFF ICE 4/6 NR - 12OZ",24,1.55125,37.23,6,36,12,24,6,6,24,0,12,6,12,30,30,12,0,18,18,30,12,24,42,36,24,30,61,1,68,14,30,24,42,12,48,12,72,36,30,0,6,42,6,24,30,12,36,0,12,24,18,12,30,30,30,1238
